|location|name|party
0||Jack Horner|Progressive Conservative
1||Jack Bigg|Progressive Conservative
2||Clifford Smallwood|Progressive Conservative
3||Eldon Woolliams|Progressive Conservative
4||Douglas Harkness|Progressive Conservative
5||Harry Hays|Liberal
6||William Skoreyko|Progressive Conservative
7||Terry Nugent|Progressive Conservative
8||Marcel Lambert|Progressive Conservative
9||Hugh Horner|Progressive Conservative
10||Deane Gundlock|Progressive Conservative
11||Lawrence Kindt|Progressive Conservative
12||Bud Olson|Social Credit
13||Ged Baldwin|Progressive Conservative
14||Robert N. Thompson|Social Credit
15||Frank Fane|Progressive Conservative
16||Harry Andrew Moore|Progressive Conservative
17||Tommy Douglas|New Democratic Party
18||Bob Prittie|New Democratic Party
19||Bert Leboe|Social Credit
20||John (Jack) Davis|Liberal
21||Thomas Speakman Barnett|New Democratic Party
22||George Louis Chatterton|Progressive Conservative
23||Alexander Bell Patterson|Social Credit
24||Charles James McNeil Willoughby|Progressive Conservative
25||Jim Byrne|Liberal
26||Herbert Wilfred Herridge|New Democratic Party
27||Colin Cameron|New Democratic Party
28||Barry Mather|New Democratic Party
29||David Vaughan Pugh|Progressive Conservative
30||Stuart A. Fleming|Progressive Conservative
31||Frank Howard|New Democratic Party
32||Ron Basford|Liberal
33||John Robert (Jack) Nicholson|Liberal
34||Harold Edward Winch|New Democratic Party
35||Arnold Alexander Webster|New Democratic Party
36||Grant Deachman|Liberal
37||Arthur Laing|Liberal
38||David Groos|Liberal
39||Walter Dinsdale|Progressive Conservative
40||Robert Simpson|Progressive Conservative
41||Richard Elmer Forbes|Progressive Conservative
42||George Robson Muir|Progressive Conservative
43||Nick Mandziuk|Progressive Conservative
44||Siegfried John Enns|Progressive Conservative
45||Warner Herbert Jorgenson|Progressive Conservative
46||Eric Stefanson, Sr.|Progressive Conservative
47||Joseph Slogan|Progressive Conservative
48||Roger Teillet|Liberal
49||David Orlikow|New Democratic Party
50||Stanley Knowles|New Democratic Party
51||Margaret Konantz|Liberal
52||Gordon Churchill|Progressive Conservative
53||Allan Marcus Atkinson McLean|Liberal
54||Hédard-J. Robichaud|Liberal
55||Guy F. Crossman|Liberal
56||George Roy McWilliam|Liberal
57||Jean-Eudes Dubé|Liberal
58||Gordon Fairweather|Progressive Conservative
59||Thomas Miller Bell|Progressive Conservative
60||Hugh John Flemming|Progressive Conservative
61||Sherwood Rideout (died in office)|Liberal
62||John Chester MacRae|Progressive Conservative
63||Jack Pickersgill|Liberal
64||Chesley William Carter|Liberal
65||Charles Granger|Liberal
66||Herman Maxwell Batten|Liberal
67||Joseph Phillip O'Keefe|Liberal
68||Richard Cashin|Liberal
69||James Roy Tucker|Liberal
70||Eugène Rhéaume|Progressive Conservative
71||John Benjamin Stewart|Liberal
72||Robert Muir|Progressive Conservative
73||Donald MacInnis|Progressive Conservative
74||Cyril Kennedy|Progressive Conservative
75||Robert Coates|Progressive Conservative
76||George Nowlan|Progressive Conservative
77||John Lloyd|Liberal
78||Allan MacEachen|Liberal
79||Russell MacEwan|Progressive Conservative
80||Lloyd Crouse|Progressive Conservative
81||Frederick Thomas Armstrong|Liberal
82||Lester B. Pearson|Liberal
83||George Ewart Nixon|Liberal
84||James Elisha Brown|Liberal
85||Lawrence Pennell|Liberal
86||David George Hahn|Liberal
87||Edison John Clayton Loney|Progressive Conservative
88||Cyril Lloyd Francis|Liberal
89||Joseph-Anaclet Habel|Liberal
90||Reid Scott|New Democratic Party
91||Walter L. Gordon|Liberal
92||Ellwood Madill|Progressive Conservative
93||Russell Clayton Honey|Liberal
94||Mitchell Sharp|Liberal
95||James Alexander McBain|Progressive Conservative
96||Paul Martin Sr.|Liberal
97||Eugene Whelan|Liberal
98||Herb Gray|Liberal
99||Hubert Badanai|Liberal
100||Viateur Éthier|Liberal
101||Andrew Brewin|New Democratic Party
102||Jean Casselman Wadds|Progressive Conservative
103||Eric Alfred Winkler|Progressive Conservative
104||Percy Verner Noble|Progressive Conservative
105||Harry Cruickshank Harley|Liberal
106||John Munro|Liberal
107||William Dean Howe|New Democratic Party
108||Joseph Macaluso|Liberal
109||Roderick Arthur Ennis Webb|Progressive Conservative
110||Anthony Robert Temple|Liberal
111||Pat Cameron|Liberal
112||Lewis Elston Cardiff|Progressive Conservative
113||William Moore Benidickson|Liberal-Labour
114||Harold Warren Danforth|Progressive Conservative
115||Edgar Benson|Liberal
116||Mac McCutcheon|Progressive Conservative
117||Walter Frank Foy|Liberal
118||George Doucett|Progressive Conservative
119||John Matheson|Liberal
120||James Carroll Patrick Mcnulty|Liberal
121||John Alfred Irvine|Progressive Conservative
122||Campbell Ewing Millar|Progressive Conservative
123||William Howell Arthur Thomas|Progressive Conservative
124||Judy LaMarsh|Liberal
125||Osias Godin|Liberal
126||Jack Garland|Liberal
127||Jack Roxburgh|Liberal
128||Pauline Jewett|Liberal
129||Michael Starr|Progressive Conservative
130||Jean-Thomas Richard|Liberal
131||George James Mcilraith|Liberal
132||Wally Nesbitt|Progressive Conservative
133||Stanley Haidasz|Liberal
134||Gordon Aiken|Progressive Conservative
135||Bruce Silas Beer|Liberal
136||Jay Monteith|Progressive Conservative
137||Fred Stenson|Progressive Conservative
138||Doug Fisher|New Democratic Party
139||Douglas Alkenbrack|Progressive Conservative
140||James Moffat Forgie|Liberal
141||Joe Greene|Liberal
142||Donald Stovel Macdonald|Liberal
143||Paul Tardif|Liberal
144||Philip Bernard Rynard|Progressive Conservative
145||Heber Edgar Smith|Progressive Conservative
146||Sylvester Perry Ryan|Liberal
147||Lucien Lamoureux|Liberal
